donor_id,name,email,password,contact_number,blood_group,availability,months_since_first_donation,number_of_donation,pints_donated,created_at,date_of_birth,current_age,age_at_time_of_registration,permanent_city,permanent_state,permanent_district,permanent_pincode,permanent_street,current_city,current_state,current_district,current_pincode,current_street,donor_details_updated_by_admin,haemoglobin,platelets,gender,last_blood_donation_date,days_since_last_donation,blood_pressure
1b8b4c828a,Ramesh Nair,ramesh294@gmail.com,P5hX6Syg*A,+91 9898661708,A+,No,65,31,62.0,3/17/2017,01/30/2001,25,23,Warangal,Telangana,Hanamkonda,506001,Gandhi Nagar 22,Visakhapatnam,Andhra Pradesh,Visakhapatnam,530001,Temple Road 18,Yes,15.5,253973,Other,06/15/2024,667,125/81
5986bc55f9,Neha Patel,neha449@gmail.com,@5Tdg(4kCm,+91 9089933282,A-,No,55,20,20.0,4/4/2025,7/25/2003,22,18,Madurai,Tamil Nadu,Madurai,625001,Nehru Colony 9,Mangalore,Karnataka,Dakshina Kannada,575001,Gandhi Nagar 22,No,15.9,235518,Male,10/11/2024,310,129/82
93246afe6c,Kiran Rao,kiran910@gmail.com,x!)9Ag@J*7,+91 9287607071,O-,No,7,35,35.0,11/30/2022,05/14/1982,43,39,Visakhapatnam,Andhra Pradesh,Visakhapatnam,530001,MG Road 12-3-45,Pune,Maharashtra,Pune,411001,MG Road 12-3-45,Yes,12.0,353256,Male,05/07/2025,325,127/76
486ffe4e4a,Amit Kumar,amit513@gmail.com,R(2bFckq!a,+91 9164677837,A+,No,105,21,21.0,9/16/2015,7/4/1981,44,39,Tirupati,Andhra Pradesh,Tirupati,517501,Nehru Colony 9,Madurai,Tamil Nadu,Madurai,625001,Gandhi Nagar 22,No,14.1,371024,Male,01/09/2025,165,114/79
62927f7975,Rahul Kumar,rahul253@gmail.com,p7Q#Cn$m#I,+91 9551717772,AB-,No,13,19,38.0,5/1/2022,6/9/1992,33,32,Guntur,Andhra Pradesh,Guntur,522002,Nehru Colony 9,Coimbatore,Tamil Nadu,Coimbatore,641001,Gandhi Nagar 22,No,16.4,217009,Male,04/01/2024,316,110/82
17a47b3f43,Arjun Verma,arjun160@gmail.com,p%28Dpp)Qa,+91 9928948691,B-,No,56,5,10.0,10/24/2015,6/30/1976,49,47,Mysore,Karnataka,Mysore,570001,Nehru Colony 9,Hyderabad,Telangana,Hyderabad,500001,Lake View Street 5,No,12.1,283674,Female,11/13/2025,136,122/81
c6f6371120,Ramesh Joshi,ramesh274@gmail.com,*RUVn+Ckf7,+91 9104716275,AB+,Yes,24,11,11.0,1/14/2018,3/31/1994,31,30,Bangalore,Karnataka,Bangalore Urban,560001,Temple Road 18,Nagpur,Maharashtra,Nagpur,440001,Temple Road 18,No,12.8,301457,Female,06/05/2025,264,112/83
f89330b850,Rahul Joshi,rahul790@gmail.com,%2CI*tQxyD,+91 9295683588,O-,Yes,11,43,43.0,8/18/2020,6/11/2004,21,19,Karimnagar,Telangana,Karimnagar,505001,Lake View Street 5,Rajamahendravaram,Andhra Pradesh,East Godavari,533101,Nehru Colony 9,No,13.5,295124,Female,11/08/2024,113,122/78
60931e1f15,Lakshmi Rao,lakshmi963@gmail.com,!H3LBVmJF+,+91 9871561897,A-,No,107,45,90.0,10/5/2018,8/9/1989,36,31,Madurai,Tamil Nadu,Madurai,625001,Nehru Colony 9,Karimnagar,Telangana,Karimnagar,505001,Nehru Colony 9,No,15.5,331626,Male,07/14/2025,58,123/78
44fad39405,Arjun Iyer,arjun452@gmail.com,Y*LEn0Zg_Z,+91 9514861896,B-,No,74,17,34.0,12/23/2023,9/13/1976,49,45,Mangalore,Karnataka,Dakshina Kannada,575001,Nehru Colony 9,Coimbatore,Tamil Nadu,Coimbatore,641001,MG Road 12-3-45,No,12.4,332432,Male,11/17/2024,171,113/77
6d2375114d,Kiran Gupta,kiran225@gmail.com,fl6&qS4j#o,+91 9818635179,A-,No,78,7,14.0,12/31/2021,2/19/2004,22,19,Chennai,Tamil Nadu,Chennai,600001,Temple Road 18,Madurai,Tamil Nadu,Madurai,625001,Temple Road 18,No,14.9,286441,Female,04/30/2024,169,115/73
31a2187b90,Rahul Joshi,rahul811@gmail.com,&0M+#XToSD,+91 9896839264,AB-,Yes,42,27,27.0,6/12/2023,9/2/1989,36,35,Visakhapatnam,Andhra Pradesh,Visakhapatnam,530001,Temple Road 18,Mangalore,Karnataka,Dakshina Kannada,575001,Gandhi Nagar 22,No,15.5,250194,Female,03/20/2024,167,111/76
f156dbaba5,Ravi Singh,ravi437@gmail.com,+#HFQEYw1z,+91 9760879944,B-,Yes,104,36,36.0,3/23/2025,9/2/1986,39,37,Tirupati,Andhra Pradesh,Tirupati,517501,MG Road 12-3-45,Vijayawada,Andhra Pradesh,Krishna,521001,Lake View Street 5,No,16.3,290082,Male,10/06/2024,50,112/72
b38a588db1,Lakshmi Reddy,lakshmi388@gmail.com,&1+wDnIOpC,+91 9580819980,B-,Yes,50,5,10.0,5/16/2021,11/1/1998,27,26,Tirupati,Andhra Pradesh,Tirupati,517501,Temple Road 18,Vijayawada,Andhra Pradesh,Krishna,521001,Temple Road 18,No,12.8,231768,Male,04/21/2025,215,112/71
981863c515,Sneha Yadav,sneha727@gmail.com,515bQWhd)$,+91 9080015087,A+,Yes,69,27,27.0,7/12/2021,4/22/2000,25,25,Coimbatore,Tamil Nadu,Coimbatore,641001,Lake View Street 5,Madurai,Tamil Nadu,Madurai,625001,Gandhi Nagar 22,No,16.1,316265,Male,02/20/2025,244,118/78
a0921d7309,Kiran Singh,kiran712@gmail.com,8T2kLZid@L,+91 9112876015,B-,Yes,82,19,38.0,12/19/2016,1/12/1984,42,40,Warangal,Telangana,Hanamkonda,506001,MG Road 12-3-45,Pune,Maharashtra,Pune,411001,MG Road 12-3-45,No,13.6,300107,Male,08/19/2024,317,116/79
85fcb7c9c7,Suresh Iyer,suresh896@gmail.com,%h&OTSeY87,+91 9550833831,A+,No,5,38,38.0,5/23/2025,8/17/1986,39,37,Chennai,Tamil Nadu,Chennai,600001,Gandhi Nagar 22,Coimbatore,Tamil Nadu,Coimbatore,641001,Gandhi Nagar 22,No,12.7,195022,Male,04/09/2024,350,128/70
2cbbfb8fa6,Vijay Kumar,vijay634@gmail.com,A1RZu0i9!U,+91 9468874173,AB+,No,115,46,92.0,9/28/2024,7/18/1987,38,37,Karimnagar,Telangana,Karimnagar,505001,MG Road 12-3-45,Vijayawada,Andhra Pradesh,Krishna,521001,Nehru Colony 9,No,13.9,207809,Male,11/22/2025,300,120/74
2197bdc23c,Anita Verma,anita101@gmail.com,UOeX7$n!_8,+91 9331113847,B+,Yes,58,47,47.0,4/4/2019,2/24/1986,40,39,Chennai,Tamil Nadu,Chennai,600001,Lake View Street 5,Mysore,Karnataka,Mysore,570001,Gandhi Nagar 22,No,15.0,376758,Female,03/13/2025,336,124/80
